event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end
0,0,0,0,0,compute,mb0_s0_fwd,0,6.25e-05,0,0,compute,mb0_s0_fwd,0,6.25e-05
1,0,0,0,1,comm,activation,6.25e-05,0.00014638607999999998,8388608,0,comm,activation,6.25e-05,0.00014638607999999998
2,0,0,0,0,compute,mb1_s0_fwd,0.00014638607999999998,0.00020888607999999998,0,0,compute,mb1_s0_fwd,0.00014638607999999998,0.00020888607999999998
3,0,1,0,1,compute,mb0_s1_fwd,0.00014638607999999998,0.00020888607999999998,0,1,compute,mb0_s1_fwd,0.00014638607999999998,0.00020888607999999998
4,0,0,0,1,comm,activation,0.00020888607999999998,0.00029277215999999997,8388608,0,comm,activation,0.00020888607999999998,0.00029277215999999997
5,0,1,0,2,comm,activation,0.00020888607999999998,0.00029277215999999997,8388608,1,comm,activation,0.00020888607999999998,0.00029277215999999997
6,0,0,0,0,compute,mb2_s0_fwd,0.00029277215999999997,0.00035527215999999997,0,0,compute,mb2_s0_fwd,0.00029277215999999997,0.00035527215999999997
7,0,1,0,1,compute,mb1_s1_fwd,0.00029277215999999997,0.00035527215999999997,0,1,compute,mb1_s1_fwd,0.00029277215999999997,0.00035527215999999997
8,0,2,0,2,compute,mb0_s2_fwd,0.00029277215999999997,0.00035527215999999997,0,2,compute,mb0_s2_fwd,0.00029277215999999997,0.00035527215999999997
9,0,0,0,1,comm,activation,0.00035527215999999997,0.00043915823999999995,8388608,0,comm,activation,0.00035527215999999997,0.00043915823999999995
10,0,1,0,2,comm,activation,0.00035527215999999997,0.00043915823999999995,8388608,1,comm,activation,0.00035527215999999997,0.00043915823999999995
11,0,2,0,3,comm,activation,0.00035527215999999997,0.00043915823999999995,8388608,2,comm,activation,0.00035527215999999997,0.00043915823999999995
12,0,0,0,0,compute,mb3_s0_fwd,0.00043915823999999995,0.00050165824,0,0,compute,mb3_s0_fwd,0.00043915823999999995,0.00050165824
13,0,1,0,1,compute,mb2_s1_fwd,0.00043915823999999995,0.00050165824,0,1,compute,mb2_s1_fwd,0.00043915823999999995,0.00050165824
14,0,2,0,2,compute,mb1_s2_fwd,0.00043915823999999995,0.00050165824,0,2,compute,mb1_s2_fwd,0.00043915823999999995,0.00050165824
15,0,3,0,3,compute,mb0_s3_fwd,0.00043915823999999995,0.00050165824,0,3,compute,mb0_s3_fwd,0.00043915823999999995,0.00050165824
16,0,0,0,1,comm,activation,0.00050165824,0.00058554432,8388608,0,comm,activation,0.00050165824,0.00058554432
17,0,1,0,2,comm,activation,0.00050165824,0.00058554432,8388608,1,comm,activation,0.00050165824,0.00058554432
18,0,2,0,3,comm,activation,0.00050165824,0.00058554432,8388608,2,comm,activation,0.00050165824,0.00058554432
19,0,3,1,4,comm,activation,0.00050165824,0.00058554432,8388608,3,comm,activation,0.00050165824,0.00058554432
20,0,1,0,1,compute,mb3_s1_fwd,0.00058554432,0.00064804432,0,1,compute,mb3_s1_fwd,0.00058554432,0.00064804432
21,0,2,0,2,compute,mb2_s2_fwd,0.00058554432,0.00064804432,0,2,compute,mb2_s2_fwd,0.00058554432,0.00064804432
22,0,3,0,3,compute,mb1_s3_fwd,0.00058554432,0.00064804432,0,3,compute,mb1_s3_fwd,0.00058554432,0.00064804432
23,1,4,1,4,compute,mb0_s4_fwd,0.00058554432,0.00064804432,0,4,compute,mb0_s4_fwd,0.00058554432,0.00064804432
24,0,1,0,2,comm,activation,0.00064804432,0.0007319304,8388608,1,comm,activation,0.00064804432,0.0007319304
25,0,2,0,3,comm,activation,0.00064804432,0.0007319304,8388608,2,comm,activation,0.00064804432,0.0007319304
26,0,3,1,4,comm,activation,0.00064804432,0.0007319304,8388608,3,comm,activation,0.00064804432,0.0007319304
27,1,4,1,5,comm,activation,0.00064804432,0.0007319304,8388608,4,comm,activation,0.00064804432,0.0007319304
28,0,2,0,2,compute,mb3_s2_fwd,0.0007319304,0.0007944304,0,2,compute,mb3_s2_fwd,0.0007319304,0.0007944304
29,0,3,0,3,compute,mb2_s3_fwd,0.0007319304,0.0007944304,0,3,compute,mb2_s3_fwd,0.0007319304,0.0007944304
30,1,4,1,4,compute,mb1_s4_fwd,0.0007319304,0.0007944304,0,4,compute,mb1_s4_fwd,0.0007319304,0.0007944304
31,1,5,1,5,compute,mb0_s5_fwd,0.0007319304,0.0007944304,0,5,compute,mb0_s5_fwd,0.0007319304,0.0007944304
32,0,2,0,3,comm,activation,0.0007944304,0.00087831648,8388608,2,comm,activation,0.0007944304,0.00087831648
33,0,3,1,4,comm,activation,0.0007944304,0.00087831648,8388608,3,comm,activation,0.0007944304,0.00087831648
34,1,4,1,5,comm,activation,0.0007944304,0.00087831648,8388608,4,comm,activation,0.0007944304,0.00087831648
