event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end
0,0,0,0,0,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,0,compute,mb0_L0_fwd_partial,0,1.5625e-05
1,0,1,0,1,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,1,compute,mb0_L0_fwd_partial,0,1.5625e-05
2,0,2,0,2,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,2,compute,mb0_L0_fwd_partial,0,1.5625e-05
3,0,3,0,3,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,3,compute,mb0_L0_fwd_partial,0,1.5625e-05
4,1,4,1,4,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,4,compute,mb0_L0_fwd_partial,0,1.5625e-05
5,1,5,1,5,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,5,compute,mb0_L0_fwd_partial,0,1.5625e-05
6,1,6,1,6,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,6,compute,mb0_L0_fwd_partial,0,1.5625e-05
7,1,7,1,7,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,7,compute,mb0_L0_fwd_partial,0,1.5625e-05
8,2,8,2,8,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,8,compute,mb0_L0_fwd_partial,0,1.5625e-05
9,2,9,2,9,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,9,compute,mb0_L0_fwd_partial,0,1.5625e-05
10,2,10,2,10,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,10,compute,mb0_L0_fwd_partial,0,1.5625e-05
11,2,11,2,11,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,11,compute,mb0_L0_fwd_partial,0,1.5625e-05
12,3,12,3,12,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,12,compute,mb0_L0_fwd_partial,0,1.5625e-05
13,3,13,3,13,compute,mb0_L0_fwd_partial,0,1.5625e-05,0,13,compute,mb0_L0_fwd_partial,0,1.5625e-05
