event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end,bandwidth_used,wait_time
0,0,0,0,0,compute,mb0_fwd,0,0.0005,0,0,compute,mb0_fwd,0,0.0005,,
1,0,1,0,1,compute,mb0_fwd,0,0.0005,0,1,compute,mb0_fwd,0,0.0005,,
2,0,2,0,2,compute,mb0_fwd,0,0.0005,0,2,compute,mb0_fwd,0,0.0005,,
3,0,3,0,3,compute,mb0_fwd,0,0.0005,0,3,compute,mb0_fwd,0,0.0005,,
4,1,4,1,4,compute,mb0_fwd,0,0.0005,0,4,compute,mb0_fwd,0,0.0005,,
5,1,5,1,5,compute,mb0_fwd,0,0.0005,0,5,compute,mb0_fwd,0,0.0005,,
6,1,6,1,6,compute,mb0_fwd,0,0.0005,0,6,compute,mb0_fwd,0,0.0005,,
7,1,7,1,7,compute,mb0_fwd,0,0.0005,0,7,compute,mb0_fwd,0,0.0005,,
8,2,8,2,8,compute,mb0_fwd,0,0.0005,0,8,compute,mb0_fwd,0,0.0005,,
9,2,9,2,9,compute,mb0_fwd,0,0.0005,0,9,compute,mb0_fwd,0,0.0005,,
10,2,10,2,10,compute,mb0_fwd,0,0.0005,0,10,compute,mb0_fwd,0,0.0005,,
11,2,11,2,11,compute,mb0_fwd,0,0.0005,0,11,compute,mb0_fwd,0,0.0005,,
12,3,12,3,12,compute,mb0_fwd,0,0.0005,0,12,compute,mb0_fwd,0,0.0005,,
13,3,13,3,13,compute,mb0_fwd,0,0.0005,0,13,compute,mb0_fwd,0,0.0005,,
14,3,14,3,14,compute,mb0_fwd,0,0.0005,0,14,compute,mb0_fwd,0,0.0005,,
15,3,15,3,15,compute,mb0_fwd,0,0.0005,0,15,compute,mb0_fwd,0,0.0005,,
16,0,0,0,0,compute,mb0_bwd,0.0005,0.001,0,0,compute,mb0_bwd,0.0005,0.001,,
17,0,1,0,1,compute,mb0_bwd,0.0005,0.001,0,1,compute,mb0_bwd,0.0005,0.001,,
18,0,2,0,2,compute,mb0_bwd,0.0005,0.001,0,2,compute,mb0_bwd,0.0005,0.001,,
19,0,3,0,3,compute,mb0_bwd,0.0005,0.001,0,3,compute,mb0_bwd,0.0005,0.001,,
20,1,4,1,4,compute,mb0_bwd,0.0005,0.001,0,4,compute,mb0_bwd,0.0005,0.001,,
21,1,5,1,5,compute,mb0_bwd,0.0005,0.001,0,5,compute,mb0_bwd,0.0005,0.001,,
22,1,6,1,6,compute,mb0_bwd,0.0005,0.001,0,6,compute,mb0_bwd,0.0005,0.001,,
23,1,7,1,7,compute,mb0_bwd,0.0005,0.001,0,7,compute,mb0_bwd,0.0005,0.001,,
24,2,8,2,8,compute,mb0_bwd,0.0005,0.001,0,8,compute,mb0_bwd,0.0005,0.001,,
25,2,9,2,9,compute,mb0_bwd,0.0005,0.001,0,9,compute,mb0_bwd,0.0005,0.001,,
26,2,10,2,10,compute,mb0_bwd,0.0005,0.001,0,10,compute,mb0_bwd,0.0005,0.001,,
27,2,11,2,11,compute,mb0_bwd,0.0005,0.001,0,11,compute,mb0_bwd,0.0005,0.001,,
28,3,12,3,12,compute,mb0_bwd,0.0005,0.001,0,12,compute,mb0_bwd,0.0005,0.001,,
29,3,13,3,13,compute,mb0_bwd,0.0005,0.001,0,13,compute,mb0_bwd,0.0005,0.001,,
30,3,14,3,14,compute,mb0_bwd,0.0005,0.001,0,14,compute,mb0_bwd,0.0005,0.001,,
31,3,15,3,15,compute,mb0_bwd,0.0005,0.001,0,15,compute,mb0_bwd,0.0005,0.001,,
32,0,1,0,0,comm,gradient,0.001,0.001,8388608,1,comm,gradient,0.001,0.001,,
33,0,2,0,0,comm,gradient,0.001,0.001,8388608,2,comm,gradient,0.001,0.001,,
34,0,3,0,0,comm,gradient,0.001,0.001,8388608,3,comm,gradient,0.001,0.001,,
35,1,5,1,4,comm,gradient,0.001,0.001,8388608,5,comm,gradient,0.001,0.001,,
36,1,6,1,4,comm,gradient,0.001,0.001,8388608,6,comm,gradient,0.001,0.001,,
37,1,7,1,4,comm,gradient,0.001,0.001,8388608,7,comm,gradient,0.001,0.001,,
38,2,9,2,8,comm,gradient,0.001,0.001,8388608,9,comm,gradient,0.001,0.001,,
39,2,10,2,8,comm,gradient,0.001,0.001,8388608,10,comm,gradient,0.001,0.001,,
40,2,11,2,8,comm,gradient,0.001,0.001,8388608,11,comm,gradient,0.001,0.001,,
41,3,13,3,12,comm,gradient,0.001,0.001,8388608,13,comm,gradient,0.001,0.001,,
42,3,14,3,12,comm,gradient,0.001,0.001,8388608,14,comm,gradient,0.001,0.001,,
43,3,15,3,12,comm,gradient,0.001,0.001,8388608,15,comm,gradient,0.001,0.001,,
44,0,0,1,4,comm,gradient,0.001,0.00235617728,8388608,0,comm,gradient,0.001,0.00235617728,100.0,0.0
45,1,4,2,8,comm,gradient,0.001,0.00235617728,8388608,4,comm,gradient,0.001,0.00235617728,100.0,0.0
46,2,8,3,12,comm,gradient,0.001,0.00235617728,8388608,8,comm,gradient,0.001,0.00235617728,100.0,0.0
47,3,12,0,0,comm,gradient,0.001,0.00235617728,8388608,12,comm,gradient,0.001,0.00235617728,100.0,0.0
48,0,0,0,1,comm,gradient,0.00235617728,0.00235617728,8388608,0,comm,gradient,0.00235617728,0.00235617728,,
49,0,0,0,2,comm,gradient,0.00235617728,0.00235617728,8388608,0,comm,gradient,0.00235617728,0.00235617728,,
50,0,0,0,3,comm,gradient,0.00235617728,0.00235617728,8388608,0,comm,gradient,0.00235617728,0.00235617728,,
51,1,4,1,5,comm,gradient,0.00235617728,0.00235617728,8388608,4,comm,gradient,0.00235617728,0.00235617728,,
52,1,4,1,6,comm,gradient,0.00235617728,0.00235617728,8388608,4,comm,gradient,0.00235617728,0.00235617728,,
53,1,4,1,7,comm,gradient,0.00235617728,0.00235617728,8388608,4,comm,gradient,0.00235617728,0.00235617728,,
54,2,8,2,9,comm,gradient,0.00235617728,0.00235617728,8388608,8,comm,gradient,0.00235617728,0.00235617728,,
55,2,8,2,10,comm,gradient,0.00235617728,0.00235617728,8388608,8,comm,gradient,0.00235617728,0.00235617728,,
56,2,8,2,11,comm,gradient,0.00235617728,0.00235617728,8388608,8,comm,gradient,0.00235617728,0.00235617728,,
57,3,12,3,13,comm,gradient,0.00235617728,0.00235617728,8388608,12,comm,gradient,0.00235617728,0.00235617728,,
58,3,12,3,14,comm,gradient,0.00235617728,0.00235617728,8388608,12,comm,gradient,0.00235617728,0.00235617728,,
59,3,12,3,15,comm,gradient,0.00235617728,0.00235617728,8388608,12,comm,gradient,0.00235617728,0.00235617728,,
60,0,0,0,0,compute,mb1_fwd,0.00235617728,0.00285617728,0,0,compute,mb1_fwd,0.00235617728,0.00285617728,,
61,0,1,0,1,compute,mb1_fwd,0.00235617728,0.00285617728,0,1,compute,mb1_fwd,0.00235617728,0.00285617728,,
62,0,2,0,2,compute,mb1_fwd,0.00235617728,0.00285617728,0,2,compute,mb1_fwd,0.00235617728,0.00285617728,,
63,0,3,0,3,compute,mb1_fwd,0.00235617728,0.00285617728,0,3,compute,mb1_fwd,0.00235617728,0.00285617728,,
64,1,4,1,4,compute,mb1_fwd,0.00235617728,0.00285617728,0,4,compute,mb1_fwd,0.00235617728,0.00285617728,,
65,1,5,1,5,compute,mb1_fwd,0.00235617728,0.00285617728,0,5,compute,mb1_fwd,0.00235617728,0.00285617728,,
66,1,6,1,6,compute,mb1_fwd,0.00235617728,0.00285617728,0,6,compute,mb1_fwd,0.00235617728,0.00285617728,,
67,1,7,1,7,compute,mb1_fwd,0.00235617728,0.00285617728,0,7,compute,mb1_fwd,0.00235617728,0.00285617728,,
68,2,8,2,8,compute,mb1_fwd,0.00235617728,0.00285617728,0,8,compute,mb1_fwd,0.00235617728,0.00285617728,,
69,2,9,2,9,compute,mb1_fwd,0.00235617728,0.00285617728,0,9,compute,mb1_fwd,0.00235617728,0.00285617728,,
70,2,10,2,10,compute,mb1_fwd,0.00235617728,0.00285617728,0,10,compute,mb1_fwd,0.00235617728,0.00285617728,,
71,2,11,2,11,compute,mb1_fwd,0.00235617728,0.00285617728,0,11,compute,mb1_fwd,0.00235617728,0.00285617728,,
72,3,12,3,12,compute,mb1_fwd,0.00235617728,0.00285617728,0,12,compute,mb1_fwd,0.00235617728,0.00285617728,,
73,3,13,3,13,compute,mb1_fwd,0.00235617728,0.00285617728,0,13,compute,mb1_fwd,0.00235617728,0.00285617728,,
74,3,14,3,14,compute,mb1_fwd,0.00235617728,0.00285617728,0,14,compute,mb1_fwd,0.00235617728,0.00285617728,,
75,3,15,3,15,compute,mb1_fwd,0.00235617728,0.00285617728,0,15,compute,mb1_fwd,0.00235617728,0.00285617728,,
76,0,0,0,0,compute,mb1_bwd,0.00285617728,0.00335617728,0,0,compute,mb1_bwd,0.00285617728,0.00335617728,,
77,0,1,0,1,compute,mb1_bwd,0.00285617728,0.00335617728,0,1,compute,mb1_bwd,0.00285617728,0.00335617728,,
78,0,2,0,2,compute,mb1_bwd,0.00285617728,0.00335617728,0,2,compute,mb1_bwd,0.00285617728,0.00335617728,,
79,0,3,0,3,compute,mb1_bwd,0.00285617728,0.00335617728,0,3,compute,mb1_bwd,0.00285617728,0.00335617728,,
80,1,4,1,4,compute,mb1_bwd,0.00285617728,0.00335617728,0,4,compute,mb1_bwd,0.00285617728,0.00335617728,,
81,1,5,1,5,compute,mb1_bwd,0.00285617728,0.00335617728,0,5,compute,mb1_bwd,0.00285617728,0.00335617728,,
82,1,6,1,6,compute,mb1_bwd,0.00285617728,0.00335617728,0,6,compute,mb1_bwd,0.00285617728,0.00335617728,,
