event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end,bandwidth_used,wait_time
0,0,0,0,0,compute,mb0_s0_fwd,0,6.25e-05,0,0,compute,mb0_s0_fwd,0,6.25e-05,,
1,0,0,0,1,comm,activation,6.25e-05,0.0007435886399999999,8388608,0,comm,activation,6.25e-05,0.0007435886399999999,100.0,0.0
2,0,0,0,0,compute,mb1_s0_fwd,0.0007435886399999999,0.00080608864,0,0,compute,mb1_s0_fwd,0.0007435886399999999,0.00080608864,,
3,0,1,0,1,compute,mb0_s1_fwd,0.0007435886399999999,0.00080608864,0,1,compute,mb0_s1_fwd,0.0007435886399999999,0.00080608864,,
4,0,0,0,1,comm,activation,0.00080608864,0.0014871772799999999,8388608,0,comm,activation,0.00080608864,0.0014871772799999999,100.0,0.0
5,0,0,0,0,compute,mb2_s0_fwd,0.0014871772799999999,0.00154967728,0,0,compute,mb2_s0_fwd,0.0014871772799999999,0.00154967728,,
6,0,1,0,2,comm,activation,0.00080608864,0.00215826592,8388608,1,comm,activation,0.00080608864,0.00215826592,50.0,0.0
7,0,1,0,1,compute,mb1_s1_fwd,0.00215826592,0.00222076592,0,1,compute,mb1_s1_fwd,0.00215826592,0.00222076592,,
8,0,2,0,2,compute,mb0_s2_fwd,0.00215826592,0.00222076592,0,2,compute,mb0_s2_fwd,0.00215826592,0.00222076592,,
9,0,0,0,1,comm,activation,0.00154967728,0.00290185456,8388608,0,comm,activation,0.00154967728,0.00290185456,50.0,0.0
10,0,0,0,0,compute,mb3_s0_fwd,0.00290185456,0.00296435456,0,0,compute,mb3_s0_fwd,0.00290185456,0.00296435456,,
11,0,1,0,2,comm,activation,0.00222076592,0.0035729432000000004,8388608,1,comm,activation,0.00222076592,0.0035729432000000004,50.0,0.0
12,0,1,0,1,compute,mb2_s1_fwd,0.0035729432000000004,0.0036354432000000004,0,1,compute,mb2_s1_fwd,0.0035729432000000004,0.0036354432000000004,,
13,0,2,0,3,comm,activation,0.00222076592,0.004244031840000001,8388608,2,comm,activation,0.00222076592,0.004244031840000001,33.33333333333333,0.0
14,0,2,0,2,compute,mb1_s2_fwd,0.004244031840000001,0.004306531840000001,0,2,compute,mb1_s2_fwd,0.004244031840000001,0.004306531840000001,,
15,0,3,0,3,compute,mb0_s3_fwd,0.004244031840000001,0.004306531840000001,0,3,compute,mb0_s3_fwd,0.004244031840000001,0.004306531840000001,,
16,0,0,0,1,comm,activation,0.00296435456,0.00498762048,8388608,0,comm,activation,0.00296435456,0.00498762048,33.33333333333333,0.0
17,0,1,0,2,comm,activation,0.0036354432000000004,0.005658709120000001,8388608,1,comm,activation,0.0036354432000000004,0.005658709120000001,33.33333333333333,0.0
18,0,1,0,1,compute,mb3_s1_fwd,0.005658709120000001,0.005721209120000001,0,1,compute,mb3_s1_fwd,0.005658709120000001,0.005721209120000001,,
19,0,2,0,3,comm,activation,0.004306531840000001,0.00632979776,8388608,2,comm,activation,0.004306531840000001,0.00632979776,33.33333333333333,0.0
20,0,2,0,2,compute,mb2_s2_fwd,0.00632979776,0.00639229776,0,2,compute,mb2_s2_fwd,0.00632979776,0.00639229776,,
