event_id,source_node,source_gpu,target_node,target_gpu,event_type,data_type,start_time,end_time,data_size,gpu_id,type,name,start,end,scenario,bandwidth_used,wait_time
0,0,0,0,0,compute,mb0_s0_fwd,0,6.25e-05,0,0,compute,mb0_s0_fwd,0,6.25e-05,baseline,,
1,0,0,0,1,comm,activation,6.25e-05,0.000747951516421256,8388608,0,comm,activation,6.25e-05,0.000747951516421256,baseline,100.0,0.0
2,0,0,0,0,compute,mb1_s0_fwd,0.000747951516421256,0.000810451516421256,0,0,compute,mb1_s0_fwd,0.000747951516421256,0.000810451516421256,baseline,,
3,0,1,0,1,compute,mb0_s1_fwd,0.000747951516421256,0.000810451516421256,0,1,compute,mb0_s1_fwd,0.000747951516421256,0.000810451516421256,baseline,,
4,0,0,0,1,comm,activation,0.000810451516421256,0.0014974802745766755,8388608,0,comm,activation,0.000810451516421256,0.0014974802745766755,baseline,100.0,0.0
5,0,0,0,0,compute,mb2_s0_fwd,0.0014974802745766755,0.0015599802745766755,0,0,compute,mb2_s0_fwd,0.0014974802745766755,0.0015599802745766755,baseline,,
6,0,1,0,2,comm,activation,0.000810451516421256,0.002168597928398252,8388608,1,comm,activation,0.000810451516421256,0.002168597928398252,baseline,50.0,0.0
7,0,1,0,1,compute,mb1_s1_fwd,0.002168597928398252,0.002231097928398252,0,1,compute,mb1_s1_fwd,0.002168597928398252,0.002231097928398252,baseline,,
8,0,2,0,2,compute,mb0_s2_fwd,0.002168597928398252,0.002231097928398252,0,2,compute,mb0_s2_fwd,0.002168597928398252,0.002231097928398252,baseline,,
9,0,0,0,1,comm,activation,0.0015599802745766755,0.002917306349572264,8388608,0,comm,activation,0.0015599802745766755,0.002917306349572264,baseline,50.0,0.0
10,0,0,0,0,compute,mb3_s0_fwd,0.002917306349572264,0.002979806349572264,0,0,compute,mb3_s0_fwd,0.002917306349572264,0.002979806349572264,baseline,,
11,0,2,0,3,comm,activation,0.002231097928398252,0.0035879631295286348,8388608,2,comm,activation,0.002231097928398252,0.0035879631295286348,baseline,50.0,0.0
12,0,3,0,3,compute,mb0_s3_fwd,0.0035879631295286348,0.003650463129528635,0,3,compute,mb0_s3_fwd,0.0035879631295286348,0.003650463129528635,baseline,,
13,0,1,0,2,comm,activation,0.002231097928398252,0.004259579869925884,8388608,1,comm,activation,0.002231097928398252,0.004259579869925884,baseline,33.33333333333333,0.0
14,0,1,0,1,compute,mb2_s1_fwd,0.004259579869925884,0.004322079869925884,0,1,compute,mb2_s1_fwd,0.004259579869925884,0.004322079869925884,baseline,,
15,0,2,0,2,compute,mb1_s2_fwd,0.004259579869925884,0.004322079869925884,0,2,compute,mb1_s2_fwd,0.004259579869925884,0.004322079869925884,baseline,,
16,0,0,0,1,comm,activation,0.002979806349572264,0.0050084393490079995,8388608,0,comm,activation,0.002979806349572264,0.0050084393490079995,baseline,33.33333333333333,0.0
17,0,3,1,4,comm,activation,0.003650463129528635,0.0057005738497097076,8388608,3,comm,activation,0.003650463129528635,0.0057005738497097076,baseline,33.33333333333333,0.0
18,1,4,1,4,compute,mb0_s4_fwd,0.0057005738497097076,0.005763073849709708,0,4,compute,mb0_s4_fwd,0.0057005738497097076,0.005763073849709708,baseline,,
19,0,1,0,2,comm,activation,0.004322079869925884,0.006349412492783485,8388608,1,comm,activation,0.004322079869925884,0.006349412492783485,baseline,33.33333333333333,0.0
20,0,1,0,1,compute,mb3_s1_fwd,0.006349412492783485,0.006411912492783485,0,1,compute,mb3_s1_fwd,0.006349412492783485,0.006411912492783485,baseline,,
21,0,2,0,3,comm,activation,0.004322079869925884,0.0070221798197359795,8388608,2,comm,activation,0.004322079869925884,0.0070221798197359795,baseline,25.0,0.0
22,0,2,0,2,compute,mb2_s2_fwd,0.0070221798197359795,0.00708467981973598,0,2,compute,mb2_s2_fwd,0.0070221798197359795,0.00708467981973598,baseline,,
23,0,3,0,3,compute,mb1_s3_fwd,0.0070221798197359795,0.00708467981973598,0,3,compute,mb1_s3_fwd,0.0070221798197359795,0.00708467981973598,baseline,,
24,1,4,1,5,comm,activation,0.005763073849709708,0.007790692158470808,8388608,4,comm,activation,0.005763073849709708,0.007790692158470808,baseline,33.33333333333333,0.0
25,1,5,1,5,compute,mb0_s5_fwd,0.007790692158470808,0.007853192158470808,0,5,compute,mb0_s5_fwd,0.007790692158470808,0.007853192158470808,baseline,,
26,0,1,0,2,comm,activation,0.006411912492783485,0.008441105749358179,8388608,1,comm,activation,0.006411912492783485,0.008441105749358179,baseline,33.33333333333333,0.0
